capa,K,N,M,tiempo_sin_ms,tiempo_con_ms,speedup
q_proj,5120,12288,1,0.162775,,
q_proj,5120,12288,8,0.164086,,
q_proj,5120,12288,512,1.174446,,
q_proj,5120,12288,1664,3.299369,,
k_proj,5120,1024,1,0.015626,0.012206,1.2802
k_proj,5120,1024,8,0.023450,0.012286,1.9086
k_proj,5120,1024,512,0.089436,0.050442,1.7730
k_proj,5120,1024,1664,0.255077,0.110592,2.3065
v_proj,5120,1024,1,0.015892,0.013210,1.2031
v_proj,5120,1024,8,0.028938,0.015831,1.8279
v_proj,5120,1024,512,0.118088,0.066294,1.7813
v_proj,5120,1024,1664,0.306688,0.127508,2.4052
o_proj,6144,5120,1,0.086753,,
o_proj,6144,5120,8,0.083108,,
o_proj,6144,5120,512,0.486543,,
o_proj,6144,5120,1664,1.896141,,
in_proj_qkv,5120,10240,1,0.136806,,
in_proj_qkv,5120,10240,8,0.132813,,
in_proj_qkv,5120,10240,512,0.802816,,
in_proj_qkv,5120,10240,1664,2.850345,,
in_proj_z,5120,6144,1,0.082022,,
in_proj_z,5120,6144,8,0.085504,,
in_proj_z,5120,6144,512,0.583352,,
in_proj_z,5120,6144,1664,1.639813,,
out_proj,6144,5120,1,0.085238,,
out_proj,6144,5120,8,0.089477,,
out_proj,6144,5120,512,0.505631,,
out_proj,6144,5120,1664,1.900052,,
